text,remember,understand,apply,analyze,evaluate,create,one_hot
Analisar as implicações econômicas para a saúde da prática perioperativa eficiente.,0.0,0.0,0.0,1.0,0.0,0.0,[0. 0. 0. 1. 0. 0.]
Aplicar competências de investigação para funcionar eficazmente como membro de uma equipa de projecto de investigação.,0.0,0.0,1.0,0.0,0.0,0.0,[0. 0. 1. 0. 0. 0.]
Avaliação e síntese de diversas informações sobre o mercado das tecnologias da informação e do conhecimento e sobre como utilizar as estratégi,0.0,0.0,0.0,0.0,1.0,1.0,[0. 0. 0. 0. 1. 1.]
"Descreva as características gerais do moderno sistema de raios-X utilizado na prática clínica, incluindo os princípios científicos,",0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Avaliação dos diferentes modelos de cuidados perioperatórios existentes em todo o mundo.,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0. 0. 1. 0.]
Explicar os termos e conceitos-chave utilizados para a interacção com os big data envolvendo a linguagem digital e,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Identificar uma questão de relevância para a prática da medicina perioperatória capaz de investigar e investigar mais no contexto de um projecto,0.0,0.0,0.0,1.0,0.0,0.0,[0. 0. 0. 1. 0. 0.]
"Identificar as características-chave do uso da radiação, como ela produz a imagem e seu uso seguro na prática radiográfica",0.0,0.0,0.0,1.0,0.0,0.0,[0. 0. 0. 1. 0. 0.]
Reconhecer o papel fundamental que os fatores humanos desempenham na direcção e no desenvolvimento de uma equipa perioperativa altamente fun,1.0,0.0,0.0,0.0,0.0,0.0,[1. 0. 0. 0. 0. 0.]
"Quantificar rigorosamente a mistura de várias classes de cadeias finitas de Markov, utilizando uma variedade de técnicas;",0.0,0.0,1.0,0.0,0.0,0.0,[0. 0. 1. 0. 0. 0.]
Compreender a importância de definir e medir com precisão os resultados dos pacientes e a sua implicação nas melhores práticas.,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
(Para estudantes de língua japonesa apenas:) utilizar as habilidades de língua japonesa em pesquisas acadêmicas e discussão de,0.0,0.0,1.0,0.0,0.0,0.0,[0. 0. 1. 0. 0. 0.]
"1. demonstrar uma compreensão avançada e aplicação da teoria, dos desafios, dos métodos, das ferramentas e dos quadros",0.0,0.0,1.0,0.0,0.0,0.0,[0. 0. 1. 0. 0. 0.]
"1. demonstrar uma compreensão e aplicação dos métodos, estratégias, táticas e ferramentas para desenvolver conexões, comunicação",0.0,0.0,1.0,0.0,0.0,0.0,[0. 0. 1. 0. 0. 0.]
"1. Identificar os papéis e responsabilidades dos profissionais da saúde no cuidado das mulheres férteis, dos recém-nas",0.0,0.0,0.0,1.0,0.0,0.0,[0. 0. 0. 1. 0. 0.]
"2. Descrever os principais aspectos da avaliação e do cuidado da mulher e do bebê durante os períodos pré-natal, per",1.0,0.0,0.0,0.0,0.0,0.0,[1. 0. 0. 0. 0. 0.]
"3. Descreva uma abordagem sistemática da avaliação pediátrica que reflita as alterações no crescimento, desenvolvimento e nas diferen",0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
"4.Analisar uma variedade de habilidades de comunicação para envolver e interagir eficazmente com as crianças, as suas famílias e",0.0,0.0,0.0,1.0,0.0,0.0,[0. 0. 0. 1. 0. 0.]
"5. Discutir o impacto da hospitalização na criança e na família e identificar estratégias, incluindo cuidados centrados na família,",0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
"6.Identificar estratégias adequadas de gestão, prevenção e promoção da saúde para as doenças/lesões infantis",0.0,0.0,0.0,1.0,0.0,0.0,[0. 0. 0. 1. 0. 0.]
Uma compreensão básica das características-chave da história moderna da China com referência a: Perspectivas do Leste-O,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
"Uma compreensão básica das questões-chave da sociedade e da política chinesa contemporânea, focada em: i)",0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
"Uma compreensão básica dos principais períodos, estilos, gêneros, preocupações intelectuais e tendências soci",0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
"Uma compreensão básica dos principais períodos, estilos, gêneros, preocupações intelectuais e tendências soci",0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma ampla apreciação dos mecanismos psicológicos e socioculturais que sustentam a compreensão do eu e as intera,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Capacidade de descrever e compreender uma variedade de métodos utilizados para valorizar o ambiente;,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
"Capacidade para conceber, gerir e realizar um projecto de investigação.",0.0,0.0,0.0,0.0,0.0,1.0,[0. 0. 0. 0. 0. 1.]
"Capacidade de trabalhar eficazmente como membro de uma equipa através de competências bem desenvolvidas em planeamento de trabalho, gestão do tempo",0.0,0.0,1.0,0.0,0.0,0.0,[0. 0. 1. 0. 0. 0.]
Uma clara compreensão de como a memória traumática molda a representação da violência e do sofrimento de uma perspectiva internacional,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma consciência crítica das questões que envolvem as formas e os estilos contemporâneos de governança ambiental.,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
"Um sentido crítico do desenvolvimento do amplo campo de viagem e representação, com conhecimento da diversidade de modos e discursos",0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma compreensão crítica da diversidade cultural na Austrália contemporânea.,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma compreensão crítica do funcionamento dos três elementos do sistema de justiça penal e do sistema como um todo;,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma compreensão crítica do lugar e função da forma sensível na teoria da arte;,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma compreensão crítica do papel desempenhado por desastres específicos e por desastres em geral no desenvolvimento da sociedade global;,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
"Uma compreensão crítica das várias facetas do crime e do problema do crime, em especial a partir de uma perspectiva africana;",0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma compreensão crítica das várias interpretações que informam a análise histórica e contemporânea desses fenômenos;,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma compreensão crítica desta fascinante sociedade e sua historiografia,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma compreensão crítica mais profunda das suas próprias e das identidades sociais das outras pessoas,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
"Um conhecimento mais profundo dos conceitos de modernidade e tradição, e dos problemas de propriedade cultural e autenticidade,",0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma capacidade demonstrada de aplicar a metodologia de materiais e a seleção de processos para aplicações de engenharia ágil,0.0,0.0,1.0,0.0,0.0,0.0,[0. 0. 1. 0. 0. 0.]
Uma capacidade demonstrada de aplicar os princípios de projeto de microstruturas para aplicações mecânicas,0.0,0.0,1.0,0.0,0.0,0.0,[0. 0. 1. 0. 0. 0.]
"Uma capacidade demonstrada de comunicar, tanto por escrito como verbalmente, a metalurgia física de diferentes classes de ligas.",0.0,0.0,1.0,0.0,0.0,0.0,[0. 0. 1. 0. 0. 0.]
A capacidade demonstrada de conduzir estudos comparativos;,0.0,0.0,1.0,0.0,0.0,0.0,[0. 0. 1. 0. 0. 0.]
"Uma capacidade demonstrada de analisar e comparar criticamente as respostas práticas e políticas aos desafios contemporâneos do crime, da",0.0,0.0,0.0,1.0,1.0,0.0,[0. 0. 0. 1. 1. 0.]
Uma avaliação pormenorizada das combinações de propriedades mecânicas apresentadas pelas ligas de engenharia e da comparação,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Compreensão pormenorizada de uma questão ou debate chave na disciplina.,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Capacidade desenvolvida para realizar pesquisas originais em uma área de interesse particular;,0.0,0.0,1.0,0.0,0.0,0.0,[0. 0. 1. 0. 0. 0.]
"Um foco na produção de pesquisas acadêmicas como ponto final de um processo de leitura, discussão, redacção e",0.0,0.0,0.0,0.0,0.0,1.0,[0. 0. 0. 0. 0. 1.]
"Compreender plenamente as complexidades da prestação de serviços, com evidências de apreciação do contexto mais amplo em que o",0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
"Conhecimento geral do desenvolvimento social, político e cultural que caracterizou a China pós-Mao, a sociedade chinesa, o",1.0,0.0,0.0,0.0,0.0,0.0,[1. 0. 0. 0. 0. 0.]
"Conhecimento geral do desenvolvimento social, político e cultural que caracterizou a China pós-Mao, a sociedade chinesa, o",1.0,0.0,0.0,0.0,0.0,0.0,[1. 0. 0. 0. 0. 0.]
Uma consciência teórica geral da problemática das leituras interculturais;,1.0,0.0,0.0,0.0,0.0,0.0,[1. 0. 0. 0. 0. 0.]
"Um bom conhecimento das grandes mudanças culturais, sociais e políticas no século XX na China",0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Um bom conhecimento da literatura acadêmica relevante para os estudos da China contemporânea;,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma boa compreensão dos cinco níveis de desenvolvimento em que se pode avaliar o progresso ou o atraso no desenvolvimento,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Conhecimento prático fundamentado das principais abordagens teóricas e metodológicas sobre sexo e mídia;,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Um conhecimento prático fundamentado das principais abordagens teóricas e metodológicas para os homens e a masculinidade,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Um conhecimento prático fundamentado das principais abordagens teóricas que constituem o campo das abordagens feministas ao crime,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
"Conhecimento dos acontecimentos que levaram ao Holocausto, seu curso e suas consequências",1.0,0.0,0.0,0.0,0.0,0.0,[1. 0. 0. 0. 0. 0.]
"Conhecimento da própria cidade de Florença - incluindo as suas igrejas, palácios, museus, praças, monumentos e",1.0,0.0,0.0,0.0,0.0,0.0,[1. 0. 0. 0. 0. 0.]
"Conhecimento dos principais eventos, processos, questões, personalidades, ideias e política da história moderna da África",1.0,0.0,0.0,0.0,0.0,0.0,[1. 0. 0. 0. 0. 0.]
Conhecimento da utilização de computadores na automação e no aumento da precisão da fabricação (CAM).,1.0,0.0,0.0,0.0,0.0,0.0,[1. 0. 0. 0. 0. 0.]
Compreensão prática dos principais temas e estilos de escrita na literatura australiana moderna e contemporânea;,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Compreensão prática das utilizações de uma série de processos comerciais de ADR.,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma série de técnicas estatísticas e quando é apropriado utilizá-las.,0.0,0.0,0.0,0.0,0.0,1.0,[0. 0. 0. 0. 0. 1.]
Uma base sólida de conhecimento sobre a Segunda Guerra Mundial na Ásia e no Pacífico,1.0,0.0,0.0,0.0,0.0,0.0,[1. 0. 0. 0. 0. 0.]
Uma compreensão sofisticada da estética e dos temas modernistas;,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma boa interpretação dos seus dados e uma discussão científica sobre a sua interpretação.,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma boa compreensão dos requisitos de trabalho com outros em funções de responsabilidade;,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
"Uma forte abordagem cinestética para centrar o corpo, e para centrar a voz e a respiração no corpo através da",0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma melhor compreensão dos desafios éticos da resposta a desastres;,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Uma compreensão teórica das histórias e teorias da formação de actores*,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
"Conhecimento aprofundado de como as representações e as compreensões contestadas sobre o desastre têm explorado questões de responsabilidade,",0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Compreender a utilidade das simulações de modelos matemáticos para auxiliar no projeto e processamento de materiais (análise,0.0,1.0,0.0,0.0,0.0,0.0,[0. 1. 0. 0. 0. 0.]
Capacidade de analisar e refletir sobre a prática profissional de jornalismo internacional;,0.0,0.0,0.0,1.0,0.0,0.0,[0. 0. 0. 1. 0. 0.]
